business_day,trips_count,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holiday,school_holiday,season_winter,season_spring,season_summer,season_autumn,zerotosix,sixtotwelve,twelvetoeighteen,eighteentozero,rain,fog,snow,cloudy,partly_cloudy,clear,avg_temp,avg_windspeed,avg_humidity,avg_visibility,num_row
2014-02-17,2221,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.48,7.08,27.63,16.0,136
2014-02-18,105,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.93,10.9,48.42,16.0,137
2014-02-18,737,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-2.1,8.1,86.79,2.54,138
2014-02-18,2096,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3.63,16.8,61.61,14.1,139
2014-02-18,2202,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.28,13.28,55.46,15.1,140
2014-02-19,172,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.43,3.08,54.04,15.27,141
2014-02-19,2422,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3.85,6.65,83.6,2.98,142
2014-02-19,2859,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5.85,11.9,75.32,8.95,143
2014-02-19,3053,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.13,12.5,67.83,12.13,144
2014-02-20,223,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.3,13.83,54.46,16.0,145
2014-02-20,3067,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3.83,10.07,88.0,4.43,146
2014-02-20,4165,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4.5,6.65,53.79,16.0,147
2014-02-20,4337,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,7.47,9.73,43.67,16.0,148
2014-02-21,283,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2.5,11.62,90.12,2.48,149
2014-02-21,2616,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6.33,8.83,66.82,16.0,150
2014-02-21,2699,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.9,16.68,93.44,2.22,151
2014-02-21,3082,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4.37,12.6,93.24,0.0,152
2014-02-22,418,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5.82,10.62,63.04,16.0,153
2014-02-22,2472,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6.63,13.53,44.24,16.0,154
2014-02-22,2680,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10.37,12.55,32.05,16.0,155
2014-02-22,7474,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,10.98,23.08,27.39,16.0,156
2014-02-23,582,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7.9,10.18,48.32,16.0,157
2014-02-23,2462,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7.7,5.35,48.17,16.0,158
2014-02-23,2574,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,9.28,14.68,40.84,16.0,159
2014-02-23,7706,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,10.88,6.06,35.41,16.0,160
2014-02-24,213,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6.2,12.0,53.35,16.0,161
2014-02-24,3487,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.07,22.67,40.59,16.0,162
2014-02-24,4469,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.38,24.47,31.36,16.0,163
2014-02-24,4753,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.34,15.34,38.12,16.0,164
2014-02-25,217,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.3,12.37,42.58,16.0,165
2014-02-25,3672,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-1.9,14.5,41.42,16.0,166
2014-02-25,4353,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.53,21.17,39.87,16.0,167
2014-02-25,4588,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-2.77,9.75,47.36,16.0,168
2014-02-26,238,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.94,3.84,41.19,16.0,169
2014-02-26,3273,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-4.95,13.78,29.96,16.0,170
2014-02-26,3649,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-3.1,13.35,55.34,13.05,171
2014-02-26,4028,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.62,17.36,46.29,15.8,172
2014-02-27,226,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-6.87,6.58,35.85,16.0,173
2014-02-27,3125,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-7.5,26.7,30.76,16.0,174
2014-02-27,4223,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.07,16.97,33.48,16.0,175
2014-02-27,4462,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-2.77,12.0,38.25,16.0,176
2014-02-28,224,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-11.2,20.73,33.57,16.0,177
